Device Information
******************************
Device Type:    TempU03
Firmware Ver:   5.02
ID:             TZ0325122310
Start Delay:    30 min
Log Interval:   10 min
Description:    Temperature and Humidity Recording
Note:
All times shown are based on UTC-7:00 and 24-Hour clock[MM/DD/YY HH:MM:SS]

Logging Summary
******************************
First Point:   07/12/26 22:28:17
Stop Time:     07/13/26 04:08:17
Number of Points:   35
Trip Length:   00d 05h 40m 00s
Start Mode:    Button Start
Stop Mode:     USB Stop
Max:    22.2C @07/12/26 22:28:17 /56.4%RH @07/13/26 04:08:17
Min:    21.3C @07/12/26 23:48:17 /53.9%RH @07/12/26 22:28:17
Average:21.5C/55.6%RH
MKT:    21.5C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
H1:Over 8.0C,00d 00h 10m 00s(single), 07/12/26 22:38:17,00d 05h 40m 00s,1,Alarm
L1:Below 2.0C,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK

H1:Over 80.0%RH,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK
L1:Below 40.0%RH,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
07/12/2026, 22:28:17, 22.2,53.9
07/12/2026, 22:38:17, 22.0,54.4
07/12/2026, 22:48:17, 21.9,54.6
07/12/2026, 22:58:17, 21.7,54.7
07/12/2026, 23:08:17, 21.6,54.9
07/12/2026, 23:18:17, 21.5,55.0
07/12/2026, 23:28:17, 21.4,55.2
07/12/2026, 23:38:17, 21.4,55.3
07/12/2026, 23:48:17, 21.3,55.5
07/12/2026, 23:58:17, 21.3,55.6
07/13/2026, 00:08:17, 21.3,55.7
07/13/2026, 00:18:17, 21.4,55.7
07/13/2026, 00:28:17, 21.4,55.7
07/13/2026, 00:38:17, 21.4,55.6
07/13/2026, 00:48:17, 21.4,55.7
07/13/2026, 00:58:17, 21.4,55.8
07/13/2026, 01:08:17, 21.5,55.8
07/13/2026, 01:18:17, 21.5,55.8
07/13/2026, 01:28:17, 21.5,55.9
07/13/2026, 01:38:17, 21.5,55.8
07/13/2026, 01:48:17, 21.5,55.9
07/13/2026, 01:58:17, 21.5,55.9
07/13/2026, 02:08:17, 21.5,56.1
07/13/2026, 02:18:17, 21.5,56.1
07/13/2026, 02:28:17, 21.5,56.0
07/13/2026, 02:38:17, 21.5,56.1
07/13/2026, 02:48:17, 21.5,56.1
07/13/2026, 02:58:17, 21.4,56.1
07/13/2026, 03:08:17, 21.5,56.1
07/13/2026, 03:18:17, 21.5,56.2
07/13/2026, 03:28:17, 21.4,56.2
07/13/2026, 03:38:17, 21.4,56.2
07/13/2026, 03:48:17, 21.4,56.2
07/13/2026, 03:58:17, 21.4,56.2
07/13/2026, 04:08:17, 21.5,56.4
