Device Information
******************************
Device Type:    TempU03
Firmware Ver:   5.02
ID:             TZ0325122310
Start Delay:    30 min
Log Interval:   10 min
Description:    Temperature and Humidity Recording
Note:
All times shown are based on UTC-7:00 and 24-Hour clock[MM/DD/YY HH:MM:SS]

Logging Summary
******************************
First Point:   07/13/26 05:06:15
Stop Time:     07/18/26 05:46:15
Number of Points:   725
Trip Length:   05d 00h 40m 00s
Start Mode:    Button Start
Stop Mode:     USB Stop
Max:    29.5C @07/13/26 13:26:15 /63.8%RH @07/17/26 12:56:15
Min:    13.1C @07/13/26 06:36:15 /36.5%RH @07/13/26 13:46:15
Average:22.2C/49.6%RH
MKT:    22.4C

Marked Events
******************************
1. 07/13/26 05:16:15 23.8C 51.9%RH

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
H1:Over 8.0C,00d 00h 10m 00s(single), 07/13/26 05:16:15,05d 00h 40m 00s,1,Alarm
L1:Below 2.0C,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK

H1:Over 80.0%RH,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK
L1:Below 40.0%RH,00d 00h 10m 00s(single), 07/13/26 13:46:15,00d 00h 40m 00s,1,Alarm

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
07/13/2026, 05:06:15, 23.8,51.9
07/13/2026, 05:16:15, 23.8,51.9
07/13/2026, 05:26:15, 22.0,55.1
07/13/2026, 05:36:15, 22.8,54.7
07/13/2026, 05:46:15, 20.4,47.1
07/13/2026, 05:56:15, 16.9,47.8
07/13/2026, 06:06:15, 14.9,49.6
07/13/2026, 06:16:15, 13.8,50.9
07/13/2026, 06:26:15, 13.3,51.8
07/13/2026, 06:36:15, 13.1,52.2
07/13/2026, 06:46:15, 13.2,52.6
07/13/2026, 06:56:15, 13.5,52.7
07/13/2026, 07:06:15, 13.7,52.8
07/13/2026, 07:16:15, 14.1,52.8
07/13/2026, 07:26:15, 14.5,52.6
07/13/2026, 07:36:15, 15.0,52.5
07/13/2026, 07:46:15, 15.5,52.2
07/13/2026, 07:56:15, 15.9,51.8
07/13/2026, 08:06:15, 16.2,51.6
07/13/2026, 08:16:15, 16.5,51.4
07/13/2026, 08:26:15, 16.8,51.2
07/13/2026, 08:36:15, 17.2,50.9
07/13/2026, 08:46:15, 17.6,50.7
07/13/2026, 08:56:15, 18.2,50.3
07/13/2026, 09:06:15, 19.0,49.8
07/13/2026, 09:16:15, 19.7,49.2
07/13/2026, 09:26:15, 20.3,48.7
07/13/2026, 09:36:15, 20.8,48.2
07/13/2026, 09:46:15, 21.3,47.8
