Device Information
******************************
Device Type:    TempU03
Firmware Ver:   5.02
ID:             TZ0325122310
Start Delay:    30 min
Log Interval:   10 min
Description:    Temperature and Humidity Recording
Note:
All times shown are based on UTC-7:00 and 24-Hour clock[MM/DD/YY HH:MM:SS]

Logging Summary
******************************
First Point:   07/19/26 10:48:47
Stop Time:     07/19/26 16:38:47
Number of Points:   36
Trip Length:   00d 05h 50m 00s
Start Mode:    Button Start
Stop Mode:     USB Stop
Max:    33.9C @07/19/26 15:18:47 /79.8%RH @07/19/26 12:48:47
Min:    -5.1C @07/19/26 12:38:47 /36.5%RH @07/19/26 10:48:47
Average:20.3C/48.3%RH
MKT:    28.3C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
H1:Over 8.0C,00d 00h 10m 00s(single), 07/19/26 12:58:47,00d 03h 50m 00s,1,Alarm
L1:Below 2.0C,00d 00h 10m 00s(single), 07/19/26 11:18:47,00d 01h 30m 00s,1,Alarm

H1:Over 80.0%RH,00d 00h 10m 00s(single),00/00/00 00:00:00,00d 00h 00m 00s,0,OK
L1:Below 40.0%RH,00d 00h 10m 00s(single), 07/19/26 10:58:47,00d 00h 20m 00s,1,Alarm

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
07/19/2026, 10:48:47, 6.3,36.5
07/19/2026, 10:58:47, 3.2,37.5
07/19/2026, 11:08:47, 0.4,38.5
07/19/2026, 11:18:47, -1.6,44.8
07/19/2026, 11:28:47, -2.9,44.5
07/19/2026, 11:38:47, -3.7,43.7
07/19/2026, 11:48:47, -4.1,45.9
07/19/2026, 11:58:47, -4.5,48.3
07/19/2026, 12:08:47, -4.7,50.2
07/19/2026, 12:18:47, -4.9,52.1
07/19/2026, 12:28:47, -5.0,53.7
07/19/2026, 12:38:47, -5.1,54.9
07/19/2026, 12:48:47, 16.7,79.8
07/19/2026, 12:58:47, 27.3,69.3
07/19/2026, 13:08:47, 30.0,55.2
07/19/2026, 13:18:47, 33.3,54.3
07/19/2026, 13:28:47, 32.9,51.1
07/19/2026, 13:38:47, 33.2,48.3
07/19/2026, 13:48:47, 33.8,50.5
07/19/2026, 13:58:47, 33.8,46.1
07/19/2026, 14:08:47, 33.4,45.6
07/19/2026, 14:18:47, 31.4,44.8
07/19/2026, 14:28:47, 30.7,40.0
07/19/2026, 14:38:47, 32.2,44.2
07/19/2026, 14:48:47, 31.5,42.7
07/19/2026, 14:58:47, 32.0,46.3
07/19/2026, 15:08:47, 33.5,46.4
07/19/2026, 15:18:47, 33.9,50.0
07/19/2026, 15:28:47, 33.2,53.0
07/19/2026, 15:38:47, 32.9,47.1
07/19/2026, 15:48:47, 32.3,43.4
07/19/2026, 15:58:47, 31.5,41.7
07/19/2026, 16:08:47, 33.7,41.2
07/19/2026, 16:18:47, 31.4,49.0
07/19/2026, 16:28:47, 30.8,50.9
07/19/2026, 16:38:47, 32.3,49.8
