"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"100-115100","SCHKAM LAKE","LAKE OF THE WOODS","00600FRCN","Lower Mainland",,,"Lake",,"2201","092H06","10","612475","5474154",,"1.7","15.9","162"
"100-170100","HANNAH LAKE","LAKE #8005","00190FRCN","Thompson",,,"Lake",,"2704","092I04","10","595295","5540541",,"5.8","64.6","300"
"100-170100","FRANCES LAKE","LAKE #8006","00196FRCN","Thompson",,,"Lake",,"2703","092I04","10","596741","5540467",,"2.2","23.6","298"
"100-170100","NAHATLATCH LAKE","LAKE #8004","00199FRCN","Thompson",,,"Lake",,"2705","092I04","10","592103","5540290",,"16.6","303.4","300"
"100-171600-87500","FISHBLUE LAKE","BLUE LAKE, FISH LAKE, LAKE #8003","00208FRCN","Thompson",,,"Lake",,"2959","092H14","10","607927","5539203",,"1.4","7.1","383"
"100-212900",,"LAKE #3225, LALUWISSIN LAKE, RUDDOCK LAKE","00893SETN","Thompson",,,"Lake",,"3459","092I05","10","597037","5589392",,"1.1","5.9","1098"
"100-235900","SETON LAKE","LAKE #3120","00533SETN","Thompson",,,"Lake",,"3702","092I12","10","572260","5613565",,"52.2","2474.8",
"100-235900","ANDERSON LAKE","LAKE #3140","00571SETN","Thompson",,,"Lake",,"3703","092J09","10","549261","5616986",,"48.8","2871.6","263"
"100-235900-05000","DUFFEY LAKE","LAKE #3245","00976SETN","Thompson",,,"Lake",,"3708","092J08","10","551273","5585487",,"13.8","351.5","1121"
"100-235900-99100","GATES LAKE","LAKE #7000","00860SETN","Thompson",,,"Lake",,"4157","092J07","10","527657","5592113",,"4.3","62.7","484"
"100-235900-99100-22900","BLACKWATER LAKE","LAKE #7001","00768SETN","Lower Mainland",,,"Lake",,"4201","092J10","10","529644","5600872",,"1.7","15.1","731"
"100-241900-16600-19500-3840","SERPENTINE LAKE","LAKE #3042","00222SETN","Thompson",,,"Lake",,"4341","092J16","10","543699","5641015",,"1.4","8.3","1913"
"100-241900-16600-24900","LAKE LA MARE","3041","00203SETN","Thompson",,,"Lake",,"4355","092J16","10","548265","5643454",,".6","1.8","1204"
"100-241900-48300-21600","TYAUGHTON LAKE","LAKE #3050, TYAX LAKE","00192SETN","Thompson",,,"Lake",,"4771","092J15","10","517007","5644575",,"7.7","89.7","1006"
"100-241900-48300-65400","SPRUCE LAKE","LAKE #3027, SPRUCE HILL LAKE","00110SETN","Thompson",,,"Lake",,"5050","092O02","10","501808","5651697",,"3.5","39.6","1566"
"100-241900-53800","MOWSON POND","LAKE #3053","00245SETN","Thompson",,,"Lake",,"5170","092J15","10","517464","5639629",,"2.6","23.3","789"
"100-241900-55400-03400","PEARSON POND","LAKE #3052","00240SETN","Thompson",,,"Lake",,"5180","092J15","10","515266","5639713",,"1.6","9.4","828"
"100-241900-55400-05500","LAJOIE LAKE","LAKE #3087, LITTLE GUN LAKE","00356SETN","Thompson",,,"Lake",,"5184","092J15","10","507009","5631914",,"2.9","41.2","907"
"100-241900-59200","SUCKER LAKE","LAKE #3088","00350SETN","Thompson",,,"Lake",,"5338","092J15","10","512825","5632683",,"1.1","6","958"
"100-241900-59200-45800","KINGDOM LAKE","LAKE #3068","00402SETN","Thompson",,,"Lake",,"5345","092J15","10","514330","5628375",,"2.4","13.8","1293"
"100-241900-59200-45800-5240","MEAD LAKE","LAKE #3151","00421SETN","Thompson",,,"Lake",,"5348","092J15","10","514379","5626915",,"1","5.7","1318"
"100-241900-63900","GWYNETH LAKE","LAKE #3189","00420SETN","Thompson",,,"Lake",,"5518","092J15","10","508860","5626960",,"2.9","24.9","1161"
"100-258600",,"LAKE #3033",,"Thompson",,,"Lake",,"5811","092I13",,,,,,,
"100-258600-38301","PAVILION LAKE","LAKE #3033","01171BBAR","Thompson",,,"Lake",,"674301",,"10","587325","5637844",,"12.5","216.7","805"
"100-291200","LITTLE BIG BAR LAKE","LAKE #5117","00840BBAR","Thompson",,,"Lake",,"6232","092P05","10","574995","5689616",,"3.7","39.3","1050"
"100-317400-47900","WHITE LAKE","LAKE #5128, WHITE L.","00556BBAR","Thompson",,,"Lake",,"6682","092P05","10","576659","5694588",,"7.8","106.2","1035"
"100-317400-47900-94300",,"LAKE #5293","00492BBAR","Thompson",,,"Lake",,"6744","092P05","10","584307","5695564",,".4","1","1103"
"100-317400-47900-99400-0160","POLLARD LAKE","LAKE #5146, POLLARD L.","00880BBAR","Thompson",,,"Lake",,"6789","092P05","10","595835","5688721",,"1.6","10","1079"
"100-317400-47900-99400-0160",,"LAKE# 5145","00909BBAR","Thompson",,,"Lake",,"6793","092P05","10","596964","5687924",,".6","1.8","1082"
"100-317400-47900-99400-0160-3500",,"5148, LAKE 5148","00867BBAR","Thompson",,,"Lake",,"674384",,"10","594735","5689307",,"1.8","8","1082"
"100-329500-33200-48300",,"LAKE 5565","00458DOGC","Cariboo",,,"Lake",,"7596","092P12","10","578155","5711570",,"1.6","5.8","1101"
"100-363500","LAKE WILKES",,"00634MFRA","Cariboo",,,"Lake",,"8191","093B02","10","534079","5764113",,"1.5","7.4","980"
"100-363500","LAKE LYE",,"00691MFRA","Cariboo",,,"Lake",,"8187","093B01","10","535571","5762402",,"5.2","46.9","977"
"100-363500","LAKE BLAKE",,"00734MFRA","Cariboo",,,"Lake",,"8183","093B01","10","537451","5761809",,"1","4.9","971"
"100-363500","LAKE GREER",,"00766MFRA","Cariboo",,,"Lake",,"8175","092O16","10","538603","5760449",,"1.4","8","952"
"100-363500-75500-04400","LAKE JACKSON",,"00756MFRA","Cariboo",,,"Lake",,"8216","092O16","10","537021","5761127",,"1","3.9","965"
"100-380400-19400-45600-7590","LAKE HALL",,"00550MFRA","Cariboo",,,"Lake",,"8455","093B01","10","535863","5765906",,".5","1.3","985"
"100-385000-98600-22500-6790",,"LAKE #337, LITTLE JONES","00779SAJR","Cariboo",,,"Lake",,"8703","093A04","10","585394","5768745",,"1.8","17.5","964"
"100-385000-98600-98900","LAKE OF THE TREES",,"01567SAJR","Cariboo",,,"Lake",,"8975","092P14","10","624638","5743190",,"5.1","86.5","851"
"100-481100-07300-38000",,"LAKE #1851","00842COTR","Omineca",,,"Lake",,"11029","093G01","10","549499","5897324",,"3","33.4","917"
"100-593800-42800-85400-1550",,"LAKE AC9","00052MUSK","Omineca",,,"Lake",,"14584","093J12","10","467409","6063413",,"5","57.9","882"
"110-036900","LAKE ERROCK","ERROCK LAKE, SKAWKUM LAKE, SQUAKUM LAKE, SQUAWKUM LAKE","00371HARR","Lower Mainland",,,"Lake",,"22046","092G01","10","572444","5453784",,"2.9","21.8","20"
"120","KAMLOOPS LAKE","LAKE #170","00293THOM","Thompson",,,"Lake",,"23826","092I15","10","650470","5625135",,"87.4","5516.8","334"
"120-246600","DOUGLAS LAKE","LAKE #2524","00416NICL","Thompson",,,"Lake",,"23988","092I01","10","694051","5557765",,"17","659.8","802"
"120-246600","NICOLA LAKE","LAKE # 2515","00578LNIC","Thompson",,,"Lake",,"23986","092I02","10","666804","5559417",,"51","2509.4","637"
"120-246600-11500-09000",,"LAKE #2026","00327LNIC","Thompson",,,"Lake",,"24047","092I06","10","630697","5580595",,"1.6","3.5","1342"
"120-246600-11500-39300-3020-7218",,"LAKE #2028","00281LNIC","Thompson",,,"Lake",,"520905","092I07","10","642756","5582127",,"1","3.4","1579"
"120-246600-11500-58900","CHATAWAY LAKE","LAKE #2030","00254LNIC","Thompson",,,"Lake",,"24098","092I07","10","648439","5581986",,"2.5","21.9","1409"
"120-246600-11500-58900-2570",,"LAKE #2036","00422LNIC","Thompson",,,"Lake",,"24102","092I07","10","648105","5577428",,".9","2.9","1297"
"120-246600-11500-58900-2570",,"LAKE #2035","00425LNIC","Thompson",,,"Lake",,"24101","092I07","10","647910","5577269",,".9","3.8","1300"
"120-246600-11500-58900-7060","ROSCOE LAKE","LAKE #2019","00168LNIC","Thompson",,,"Lake",,"24107","092I07","10","645324","5585204",,"3.7","35.5","1589"
"120-246600-11500-58900-7060-4640",,"LAKE #2012","00108LNIC","Thompson",,,"Lake",,"24113","092I07","10","645693","5586096",,"1.5","10.6","1578"
"120-246600-16300-34300","ABBOTT LAKE","LAKE # 2065","00521LNIC","Thompson",,,"Lake",,"24172","092I06","10","642309","5572178",,"1.5","12.2","1487"
"120-246600-23400-53000-5100-4640",,"JONO LAKE, LAKE #2245, LAKE 2245","01354LNIC","Thompson",,,"Lake",,"24317","092H14","10","640973","5514024",,"1.4","10","1405"
"120-246600-28500","STUMBLES LAKES","LAKE #2070","00626LNIC","Thompson",,,"Lake",,"24386","092I02","10","646486","5565208",,".8","3.3","1441"
"120-246600-29600-09700","MORGAN LAKE","LAKE #2075","00826GUIC","Thompson",,,"Lake",,"24421","092I02","10","657595","5565056",,".7","3.5","1334"
"120-246600-29600-19700",,"LAKE #2067, LITTLE TYNER LAKE","00743GUIC","Thompson",,,"Lake",,"24476","092I07","10","648074","5572425",,".9","5.7","1330"
"120-246600-29600-19700-8130",,"LAKE #2039","00706GUIC","Thompson",,,"Lake",,"24488","092I07","10","646643","5573961",,"1","4.3","1344"
"120-246600-29600-25300","DOT LAKE","LAKE #2031","00619GUIC","Thompson",,,"Lake",,"24491","092I07","10","650219","5580810",,"3.8","37.9","1423"
"120-246600-29600-25300-4490",,"LAKE #2034","00657GUIC","Thompson",,,"Lake",,"24494","092I07","10","650999","5578789",,"1.2","5.2","1444"
"120-246600-29600-32000","DANISH LAKE","LAKE #2046","00676GUIC","Thompson",,,"Lake",,"24503","092I07","10","658586","5576902",,".8","3.4","1550"
"120-246600-29600-32400","COUGAR LAKE","LAKE #2032","00626GUIC","Thompson",,,"Lake",,"24506","092I07","10","653459","5580341",,"1.4","5","1173"
"120-246600-29600-32400-4810","GYPSUM LAKE","LAKE #2033","00642GUIC","Thompson",,,"Lake",,"24509","092I07","10","651687","5579781",,"2.4","14","1458"
"120-246600-29600-38700-5580","EVE LAKE","LAKE #2047","00675GUIC","Thompson",,,"Lake",,"24525","092I07","10","661159","5577215",,"1","6.3",
"120-246600-29600-40000-0350",,"LAKE #2024","00592GUIC","Thompson",,,"Lake",,"674861","092I07","10","659308","5584314",,".1",".1","1428"
"120-246600-29600-43200-3290","BILLY LAKE","LAKE #2013","00533GUIC","Thompson",,,"Lake",,"24545","092I07","10","648800","5585872",,"3.6","25.2",
"120-246600-29600-43200-3290","ANTLER LAKE","LAKE #2027","00597GUIC","Thompson",,,"Lake",,"24544","092I07","10","651900","5583829",,"2.5","16.1","1358"
"120-246600-29600-47500",,"LAKE #2023, QUENVILLE LAKE","00539GUIC","Thompson",,,"Lake",,"24568","092I07","10","662382","5587074",,"1.3","6.9",
"120-246600-29600-47500-2910",,"LAKE #2022","00549GUIC","Thompson",,,"Lake",,"674883","092I07","10","658039","5586975",,".9","3.4","1295"
"120-246600-29600-51100",,"LAKE #1161","00458GUIC","Thompson",,,"Lake",,"24588","092I07","10","659857","5590469",,".3",".5","1369"
"120-246600-29600-57200","LAC LE JEUNE","LAKE #560","00269GUIC","Thompson",,,"Lake",,"24610","092I07","10","676760","5594379",,"10","163.2","1276"
"120-246600-29600-57200-0960","COUSINEAU LAKE","LAKE #1163","00405GUIC","Thompson",,,"Lake",,"24615","092I07","10","660107","5591698",,"1.2","6.5","1315"
"120-246600-29600-57200-2840-0960",,"LAKE #1166","00361GUIC","Thompson",,,"Lake",,"24630","092I07","10","661392","5593447",,"1.1","4.3","1269"
"120-246600-29600-57200-3720","PASKA LAKE","LAKE #592","00158GUIC","Thompson",,,"Lake",,"24637","092I10","10","665877","5599391",,"4.3","47.2","1451"
"120-246600-29600-57200-3720-6620",,"LAKE #496","00079GUIC","Thompson",,,"Lake",,"674911","092I10","10","664541","5604113",,"1.3","11.8","1607"
"120-246600-29600-57200-3720-6620-384","WYSE LAKES","LAKE #2","00138GUIC","Thompson",,,"Lake",,"24654","092I10","10","664641","5600870",,"1.2","6.4","1490"
"120-246600-29600-57200-6240","DESMOND LAKE","LAKE #521","00490GUIC","Thompson",,,"Lake",,"24697","092I07","10","669137","5589210",,"2.3","20.6","1318"
"120-246600-29600-57200-7960","LODGEPOLE LAKE","LAKE #568","00169GUIC","Thompson",,,"Lake",,"24715","092I10","10","675828","5598919",,"1.3","7","1408"
"120-246600-29600-57200-8570","STAKE LAKE","LAKE #334","00170GUIC","Thompson",,,"Lake",,"24728","092I09","10","678610","5598917",,"2.6","21.6","1320"
"120-246600-29600-57200-8570-1760","SHAMBROOK LAKE","LAKE #1174","00257GUIC","Thompson",,,"Lake",,"24730","092I07","10","676973","5595513",,"2.3","13.2","1295"
"120-246600-29600-59700","LOGAN LAKE","LAKE #569","00250GUIC","Thompson",,,"Lake",,"24747","092I07","10","655211","5595895",,"1.6","8.8","1098"
"120-246600-29600-61600","ANDREW LAKE","JUDD, LAKE#1060","00106GUIC","Thompson",,,"Lake",,"24753","092I10","10","663510","5603378",,"1.6","10.5","1557"
"120-246600-29600-61600-6800",,"LAKE #1059","00157GUIC","Thompson",,,"Lake",,"24760","092I10","10","660240","5600189",,"1.1","8.2","1458"
